Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	Warlock	ExpRatio
MaxLvl	127	127	127	127	127	127	127	127	10
0	0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	500	1024
2	567	567	567	567	567	567	567	567	1024
3	643	643	643	643	643	643	643	643	1024
4	730	730	730	730	730	730	730	730	1024
5	828	828	828	828	828	828	828	828	1024
6	940	940	940	940	940	940	940	940	1024
7	1066	1066	1066	1066	1066	1066	1066	1066	1024
8	1209	1209	1209	1209	1209	1209	1209	1209	1024
9	1372	1372	1372	1372	1372	1372	1372	1372	1024
10	1556	1556	1556	1556	1556	1556	1556	1556	1024
11	1765	1765	1765	1765	1765	1765	1765	1765	1024
12	2003	2003	2003	2003	2003	2003	2003	2003	1024
13	2272	2272	2272	2272	2272	2272	2272	2272	1024
14	2577	2577	2577	2577	2577	2577	2577	2577	1024
15	2924	2924	2924	2924	2924	2924	2924	2924	1024
16	3317	3317	3317	3317	3317	3317	3317	3317	1024
17	3763	3763	3763	3763	3763	3763	3763	3763	1024
18	4269	4269	4269	4269	4269	4269	4269	4269	1024
19	4843	4843	4843	4843	4843	4843	4843	4843	1024
20	5494	5494	5494	5494	5494	5494	5494	5494	1024
21	6233	6233	6233	6233	6233	6233	6233	6233	1024
22	7071	7071	7071	7071	7071	7071	7071	7071	1024
23	8022	8022	8022	8022	8022	8022	8022	8022	1024
24	9100	9100	9100	9100	9100	9100	9100	9100	1024
25	10324	10324	10324	10324	10324	10324	10324	10324	1024
26	11712	11712	11712	11712	11712	11712	11712	11712	1024
27	13287	13287	13287	13287	13287	13287	13287	13287	1024
28	15073	15073	15073	15073	15073	15073	15073	15073	1024
29	17100	17100	17100	17100	17100	17100	17100	17100	1024
30	19399	19399	19399	19399	19399	19399	19399	19399	1024
31	22007	22007	22007	22007	22007	22007	22007	22007	1024
32	24966	24966	24966	24966	24966	24966	24966	24966	1024
33	28323	28323	28323	28323	28323	28323	28323	28323	1024
34	32131	32131	32131	32131	32131	32131	32131	32131	1024
35	36451	36451	36451	36451	36451	36451	36451	36451	1024
36	41352	41352	41352	41352	41352	41352	41352	41352	1024
37	46912	46912	46912	46912	46912	46912	46912	46912	1024
38	53219	53219	53219	53219	53219	53219	53219	53219	1024
39	60375	60375	60375	60375	60375	60375	60375	60375	1024
40	68492	68492	68492	68492	68492	68492	68492	68492	1024
41	77701	77701	77701	77701	77701	77701	77701	77701	1024
42	88148	88148	88148	88148	88148	88148	88148	88148	1024
43	100000	100000	100000	100000	100000	100000	100000	100000	1024
44	113445	113445	113445	113445	113445	113445	113445	113445	1024
45	128698	128698	128698	128698	128698	128698	128698	128698	1024
46	146002	146002	146002	146002	146002	146002	146002	146002	1024
47	165633	165633	165633	165633	165633	165633	165633	165633	1024
48	187902	187902	187902	187902	187902	187902	187902	187902	1024
49	213166	213166	213166	213166	213166	213166	213166	213166	1024
50	241827	241827	241827	241827	241827	241827	241827	241827	1024
51	274341	274341	274341	274341	274341	274341	274341	274341	1024
52	311227	311227	311227	311227	311227	311227	311227	311227	1024
53	353073	353073	353073	353073	353073	353073	353073	353073	1024
54	400544	400544	400544	400544	400544	400544	400544	400544	1024
55	454399	454399	454399	454399	454399	454399	454399	454399	1024
56	515494	515494	515494	515494	515494	515494	515494	515494	1024
57	584804	584804	584804	584804	584804	584804	584804	584804	1024
58	663432	663432	663432	663432	663432	663432	663432	663432	1024
59	752632	752632	752632	752632	752632	752632	752632	752632	1024
60	853826	853826	853826	853826	853826	853826	853826	853826	1024
61	968625	968625	968625	968625	968625	968625	968625	968625	1024
62	1098859	1098859	1098859	1098859	1098859	1098859	1098859	1098859	1024
63	1246604	1246604	1246604	1246604	1246604	1246604	1246604	1246604	1024
64	1414214	1414214	1414214	1414214	1414214	1414214	1414214	1414214	1024
65	1604359	1604359	1604359	1604359	1604359	1604359	1604359	1604359	1024
66	1820069	1820069	1820069	1820069	1820069	1820069	1820069	1820069	1024
67	2064782	2064782	2064782	2064782	2064782	2064782	2064782	2064782	1024
